Human_miR-1229.human_PBS,Human_miR-1229.chimp_PBS,Chimp_miR-1229.human_PBS,Chimp_miR-1229.chimp_PBS,Human_miR-1229.Ctrl_PBS,Chimp_miR-1229.Ctrl_PBS,Replicate
0.101998142,0.121427266,0.12112443,0.119091098,0.116555708,0.123864675,N1
0.101585401,0.13203778,0.126723418,0.138998107,0.148409001,0.138998107,N2
0.10258267,0.127053232,0.13295463,0.137294897,0.15102016,0.137294897,N3
