"","logFC","logCPM","LR","PValue","FDR","names","dir","symbol"
"ENSG00000118420.UBE3D",-0.0430068958072921,2.53190694283187,0.097120801438968,0.755312531711586,0.996924660785995,"ENSG00000118420.UBE3D","downr","UBE3D"
"ENSG00000110344.UBE4A",0.0925019308042206,4.25290100699401,1.00835833629919,0.315296452274152,0.986816411214075,"ENSG00000110344.UBE4A","upr","UBE4A"
"ENSG00000130939.UBE4B",-0.061877588722526,3.30624153090611,0.332432425260303,0.564230286200973,0.996924660785995,"ENSG00000130939.UBE4B","downr","UBE4B"
"ENSG00000103353.UBFD1",-0.0811977158626181,4.9388032067243,1.42569744035947,0.232467903947005,0.98126724123953,"ENSG00000103353.UBFD1","downr","UBFD1"
"ENSG00000120942.UBIAD1",-0.160755759391615,3.70376577352968,2.28207338359798,0.130876807279204,0.912206794774761,"ENSG00000120942.UBIAD1","downr","UBIAD1"
"ENSG00000122042.UBL3",0.0497191176795016,5.32193653986044,0.377209712821637,0.539100346784255,0.996924660785995,"ENSG00000122042.UBL3","upr","UBL3"
"ENSG00000102178.UBL4A",0.0340406774433292,5.11872741467424,0.280246702925099,0.596539564496533,0.996924660785995,"ENSG00000102178.UBL4A","upr","UBL4A"
"ENSG00000198258.UBL5",0.00304181952865798,9.03917503818677,0.00292048446777926,0.956902094817853,0.996924660785995,"ENSG00000198258.UBL5","upr","UBL5"
"ENSG00000288408.UBL7",0.0115930834800273,6.78981323215308,0.0439748996878855,0.833900318655021,0.996924660785995,"ENSG00000288408.UBL7","upr","UBL7"
"ENSG00000164332.UBLCP1",-0.111066677224823,5.7924706635929,3.10430621974286,0.0780854940131155,0.832843489198022,"ENSG00000164332.UBLCP1","downr","UBLCP1"
"ENSG00000118900.UBN1",0.0250170775004637,3.16132088639315,0.0436122725444879,0.834576645182028,0.996924660785995,"ENSG00000118900.UBN1","upr","UBN1"
"ENSG00000157741.UBN2",-0.0372097571244274,2.05109355449713,0.0388232814830776,0.843799175029353,0.996924660785995,"ENSG00000157741.UBN2","downr","UBN2"
"ENSG00000185019.UBOX5",-0.352404040473351,2.24267401898998,4.91938412395212,0.0265569824695817,0.651061047741707,"ENSG00000185019.UBOX5","downr","UBOX5"
"ENSG00000153560.UBP1",-0.135515400317801,3.00201903697915,1.24956244330265,0.263636064692054,0.986816411214075,"ENSG00000153560.UBP1","downr","UBP1"
"ENSG00000135018.UBQLN1",0.0608186288361802,8.39527098455489,1.02187141260086,0.312075515769495,0.986816411214075,"ENSG00000135018.UBQLN1","upr","UBQLN1"
"ENSG00000188021.UBQLN2",-0.184685863570455,6.22294806259862,5.41552358031301,0.019958466784482,0.59296604816696,"ENSG00000188021.UBQLN2","downr","UBQLN2"
