"","TimePoint","Cond","ImageNumber","ObjectNumber","File","NumberBranchEnds","NumberNonTrunkBranches","NumberTrunks","TotalObjectSkeletonLength","CVS","Image","Differentiation","Day","Condition","Blinding","day","TotalLength_um","CVSi","Imagei","isEmpty","isEmpty2"
"31","A","1",1,31,"A_1_1_1",3,1,3,208.279221892357,"1","1","p1","Day21","pLNA-1229","A_1",21,14.7159476512444,"A_1_1","A_1_1_1","p6","p8"
"32","A","1",1,32,"A_1_1_1",1,1,1,179.923885703087,"1","1","p1","Day21","pLNA-1229","A_1",21,12.7125042006519,"A_1_1","A_1_1_1","p6","p8"
"33","A","1",1,33,"A_1_1_1",1,1,1,171.62236738205,"1","1","p1","Day21","pLNA-1229","A_1",21,12.1259612515844,"A_1_1","A_1_1_1","p6","p8"
"34","A","1",1,34,"A_1_1_1",4,2,4,266.338099002838,"1","1","p1","Day21","pLNA-1229","A_1",21,18.8180918233089,"A_1_1","A_1_1_1","p6","p8"
"35","A","1",1,35,"A_1_1_1",6,2,4,153.438602745533,"1","1","p1","Day21","pLNA-1229","A_1",21,10.8411891746471,"A_1_1","A_1_1_1","p6","p8"
"36","A","1",1,36,"A_1_1_1",1,0,2,38.1421363353729,"1","1","p1","Day21","pLNA-1229","A_1",21,2.69492883888372,"A_1_1","A_1_1_1","p6","p8"
"37","A","1",1,37,"A_1_1_1",0,0,1,2,"1","1","p1","Day21","pLNA-1229","A_1",21,0.141309800541217,"A_1_1","A_1_1_1","p6","p8"
"38","A","1",1,38,"A_1_1_1",1,0,2,28.0416305065155,"1","1","p1","Day21","pLNA-1229","A_1",21,1.9812786068631,"A_1_1","A_1_1_1","p6","p8"
"39","A","1",1,39,"A_1_1_1",13,9,6,338.664001584053,"1","1","p1","Day21","pLNA-1229","A_1",21,23.9282712571664,"A_1_1","A_1_1_1","p6","p8"
"40","A","1",1,40,"A_1_1_1",2,0,2,72.7695545554161,"1","1","p1","Day21","pLNA-1229","A_1",21,5.14152561984951,"A_1_1","A_1_1_1","p6","p8"
"41","A","1",1,41,"A_1_1_1",6,1,5,111.497476160526,"1","1","p1","Day21","pLNA-1229","A_1",21,7.87784305854651,"A_1_1","A_1_1_1","p6","p8"
"42","A","1",1,42,"A_1_1_1",4,2,2,131.438602149487,"1","1","p1","Day21","pLNA-1229","A_1",21,9.28678132658013,"A_1_1","A_1_1_1","p6","p8"
"43","A","1",1,43,"A_1_1_1",13,10,4,660.269127964973,"1","1","p1","Day21","pLNA-1229","A_1",21,46.6512493881267,"A_1_1","A_1_1_1","p6","p8"
"44","A","1",1,44,"A_1_1_1",5,0,5,238.391921758652,"1","1","p1","Day21","pLNA-1229","A_1",21,16.8435574571762,"A_1_1","A_1_1_1","p6","p8"
"45","A","1",1,45,"A_1_1_1",3,0,3,144.994952082634,"1","1","p1","Day21","pLNA-1229","A_1",21,10.2446038791401,"A_1_1","A_1_1_1","p6","p8"
"46","A","1",1,46,"A_1_1_1",5,2,4,140.509669721127,"1","1","p1","Day21","pLNA-1229","A_1",21,9.9276967012023,"A_1_1","A_1_1_1","p6","p8"
"47","A","1",1,47,"A_1_1_1",7,4,3,214.492426991463,"1","1","p1","Day21","pLNA-1229","A_1",21,15.1549410378825,"A_1_1","A_1_1_1","p6","p8"
"48","A","1",1,48,"A_1_1_1",6,3,4,206.965515434742,"1","1","p1","Day21","pLNA-1229","A_1",21,14.6231278524967,"A_1_1","A_1_1_1","p6","p8"
"49","A","1",1,49,"A_1_1_1",5,3,3,193.438603520393,"1","1","p1","Day21","pLNA-1229","A_1",21,13.6673852402191,"A_1_1","A_1_1_1","p6","p8"
"50","A","1",1,50,"A_1_1_1",3,1,3,106.953320145607,"1","1","p1","Day21","pLNA-1229","A_1",21,7.5567761684983,"A_1_1","A_1_1_1","p6","p8"
"51","A","1",1,51,"A_1_1_1",0,0,2,45.4558453559875,"1","1","p1","Day21","pLNA-1229","A_1",21,3.21167822034349,"A_1_1","A_1_1_1","p6","p8"
"52","A","1",1,52,"A_1_1_1",4,4,2,217.308660984039,"1","1","p1","Day21","pLNA-1229","A_1",21,15.3539217697667,"A_1_1","A_1_1_1","p6","p8"
"53","A","1",1,53,"A_1_1_1",3,1,3,287.019341111183,"1","1","p1","Day21","pLNA-1229","A_1",21,20.2793229219463,"A_1_1","A_1_1_1","p6","p8"
"54","A","1",1,54,"A_1_1_1",5,1,4,258.066022574902,"1","1","p1","Day21","pLNA-1229","A_1",21,18.2336290882622,"A_1_1","A_1_1_1","p6","p8"
"55","A","1",1,55,"A_1_1_1",5,2,3,233.350292980671,"1","1","p1","Day21","pLNA-1229","A_1",21,16.4873416786665,"A_1_1","A_1_1_1","p6","p8"
"56","A","1",1,56,"A_1_1_1",5,2,3,320.450797617435,"1","1","p1","Day21","pLNA-1229","A_1",21,22.6414191472968,"A_1_1","A_1_1_1","p6","p8"
"57","A","1",1,57,"A_1_1_1",2,0,3,124.882253587246,"1","1","p1","Day21","pLNA-1229","A_1",21,8.82354317277567,"A_1_1","A_1_1_1","p6","p8"
"58","A","1",1,58,"A_1_1_1",8,3,5,220.735068142414,"1","1","p1","Day21","pLNA-1229","A_1",21,15.5960142258282,"A_1_1","A_1_1_1","p6","p8"
"59","A","1",1,59,"A_1_1_1",6,2,4,229.066020965576,"1","1","p1","Day21","pLNA-1229","A_1",21,16.1846368667078,"A_1_1","A_1_1_1","p6","p8"
"60","A","1",1,60,"A_1_1_1",4,0,4,203.740118801594,"1","1","p1","Day21","pLNA-1229","A_1",21,14.3952377750485,"A_1_1","A_1_1_1","p6","p8"
"61","A","1",1,61,"A_1_1_1",5,1,4,99.1126996278763,"1","1","p1","Day21","pLNA-1229","A_1",21,7.00279790775835,"A_1_1","A_1_1_1","p6","p8"
"62","A","1",1,62,"A_1_1_1",4,1,3,182.953322827816,"1","1","p1","Day21","pLNA-1229","A_1",21,12.9265487785757,"A_1_1","A_1_1_1","p6","p8"
"63","A","1",1,63,"A_1_1_1",3,2,2,148.396971464157,"1","1","p1","Day21","pLNA-1229","A_1",21,10.4849732192603,"A_1_1","A_1_1_1","p6","p8"
"64","A","1",1,64,"A_1_1_1",3,1,2,47.1837664842606,"1","1","p1","Day21","pLNA-1229","A_1",21,3.3337643153371,"A_1_1","A_1_1_1","p6","p8"
