"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","logCPM","LR","PValue","FDR"
"ENSG00000278267.MIR6859-1",0.109268226805533,0.0823197783342869,0.135221207991503,0.11991716579428,-0.776180472178198,-0.774887403930557,-1.79031542932693,5.49253965492015,0.482358847222954,0.494256701625165
"ENSG00000238009.ENSG00000238009",-0.141142753444278,0.331583000977292,0.708440023014803,0.85593889781115,1.14642031948566,1.10127474086191,-3.01760820915523,5.50411628811524,0.480959334956642,0.492863192196452
"ENSG00000239945.ENSG00000239945",1.4180353650218,1.79149774068393,1.87834400079036,1.83312691204783,2.59067583550582,2.58550629359597,-3.5934070882091,8.62852333390065,0.195572501137244,0.206763004362309
"ENSG00000241860.ENSG00000241860",-0.83476108678817,-0.102946458692893,-0.2840827031483,-0.66356329014112,0.0520352568819114,-0.660168016286495,-3.13439625235027,2.75164856130001,0.839309420235152,0.844254703553863
"ENSG00000237094.ENSG00000237094",-1.08027408474986,-0.848085560652988,-0.954124654934885,-0.980593387568261,-1.02593634337454,-0.705418444527649,-1.0729705303438,22.8121857431694,0.000861885275041416,0.00103345795354824
"ENSG00000230021.ENSG00000230021",0.491275353785081,-0.154973892366385,0.648935765125744,1.3154713477231,-0.516512749048273,1.11808913812679,-3.03318640956743,17.1164552707511,0.00886464920103092,0.0101437600466301
"ENSG00000228327.ENSG00000228327",-0.503462499225997,-0.578810636357061,-0.814297635922672,-1.07928133515514,-1.6431777280058,-1.16068522882006,-0.131270840852521,23.3624764133226,0.000683735725939489,0.000823489392077399
"ENSG00000237491.LINC01409",-0.932688002102901,-0.684575594256451,-0.545299653119279,-0.284736099632915,-0.392084270921579,-0.226598528559693,0.0265493266812028,11.9532421364924,0.0630200808017354,0.0688272506346181
"ENSG00000230092.ENSG00000230092",2.15675056983834,2.3391572855574,2.43146601966159,1.8503038458015,2.16328497095606,1.64813247690903,-0.292227688353735,83.5771940959604,6.50588132100232e-16,1.1157991600219e-15
"ENSG00000228794.LINC01128",4.08611466542865,3.84155267401293,3.79608903423688,3.62071519495888,3.60746061235652,3.57050519674213,5.93545110380505,2510.66366052914,0,0
"ENSG00000225880.LINC00115",0.127235004672723,0.484471667829164,-0.00192725972716088,-0.229143994962551,0.0538270683350448,-0.0776533168037706,-0.0390379583184201,8.43754184435034,0.20776750802797,0.21920021746443
