"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","logCPM","LR","PValue","FDR"
"ENSG00000278267.MIR6859-1",-0.00103882451819322,0.0301439289422992,0.324647775171664,0.18243410302534,-0.507624806910379,-0.505275428815541,-1.7899797128514,1.94734492396397,0.924476979332751,0.930611250560448
"ENSG00000238009.ENSG00000238009",-0.174940306990302,0.220633954558682,0.656884065533662,0.878090314549646,1.0228252652303,1.10276372294919,-3.01480878376669,4.86104616978993,0.56175472591036,0.583758739463656
"ENSG00000239945.ENSG00000239945",1.37604804705422,1.76940841102795,1.83472850292264,1.78772723311751,2.57859866770791,2.55214434282896,-3.59150245812347,8.33701978698126,0.214437359679412,0.233470941780055
"ENSG00000241860.ENSG00000241860",-0.374336211275007,0.194695992684716,0.0444869974834169,-0.34069000517429,0.505254630890079,-0.318552579042236,-3.13099104785817,1.56186346118082,0.955279786968454,0.958948909971337
"ENSG00000237094.ENSG00000237094",-1.02984698332167,-0.877447205014985,-0.914550996186037,-0.932574173896232,-1.02007445884255,-0.656286564291509,-1.07086398556012,8.73957621348654,0.188762497972437,0.206565113132344
"ENSG00000230021.ENSG00000230021",0.442747540227433,-0.205447828135211,0.596703251460242,1.26939194095981,-0.562967019284681,1.07519561136391,-3.03123786531971,17.2577508308217,0.00838122030164855,0.0102146485203664
"ENSG00000228327.ENSG00000228327",-0.540808792479973,-0.57940597272669,-0.85576548598248,-1.04316325143976,-1.57104412559745,-1.13434214649301,-0.132078149808945,13.0936340088616,0.0415728952177927,0.0481801692524948
"ENSG00000237491.LINC01409",-0.910398164972982,-0.696999667313916,-0.55216524184719,-0.309716858933365,-0.407231385968034,-0.193413482351638,0.0282636277290856,7.72403084645937,0.259026688631116,0.280019964771708
"ENSG00000230092.ENSG00000230092",2.11239812993432,2.28567941950871,2.37471407135834,1.80053443551955,2.11753257547131,1.60654171832561,-0.293380923497026,75.1702518483977,3.54069620221813e-14,6.96555057757877e-14
"ENSG00000228794.LINC01128",4.03776322493222,3.78866116406203,3.74371783713701,3.57453230467188,3.56123139340463,3.5270421556152,5.92883316644615,1842.48065819495,0,0
"ENSG00000225880.LINC00115",0.0965417981102829,0.480246947098724,0.0297160412575652,-0.219595380314832,0.0240216990928681,-0.0518404608162809,-0.0366680730484548,4.81406215055283,0.567872834912113,0.589837854063707
"ENSG00000272438.ENSG00000272438",3.0600768324824,2.36876494573078,1.65990713533206,1.4109928123508,1.18598779773439,1.63086571279413,-0.97955167905646,42.0508527574697,1.7967444332731e-07,2.81192048408786e-07
"ENSG00000230699.ENSG00000230699",2.40222907435687,1.89794860997416,1.16976851660179,0.458323810719567,0.795946312584361,0.703918094948365,1.78472137636959,60.5874130549634,3.41930375988389e-11,6.14887671841781e-11
"ENSG00000241180.ENSG00000241180",2.57183931234568,1.90950585043169,1.30807248723635,0.537028769568405,0.865030103710159,0.918315665322245,-0.802642078528694,22.0015369602583,0.00121009703838828,0.00155895224608762
"ENSG00000223764.LINC02593",8.5448823027587,8.21123977718241,7.30587638194517,6.49389677396608,7.22143703594884,7.36534069234768,3.43368041360359,840.317446651238,2.98709469121013e-178,3.63533142295407e-177
"ENSG00000187634.SAMD11",8.57356827145118,8.3753862128913,7.61139966395304,7.40552503059811,7.82605317299897,8.15259395897875,4.93492298859978,1440.62046858561,3.87663592141818e-308,9.66303667777864e-307
"ENSG00000188976.NOC2L",-1.07620333870501,-1.12085871907138,-1.08816195016164,-0.974394299778138,-1.1612427760098,-1.11032770399023,6.8870264889319,339.209509351827,3.19564204178957e-70,1.54723703186206e-69
"ENSG00000187961.KLHL17",0.456605032065625,0.408938596302051,0.113168369999514,0.029866992795856,-0.100739285991741,-0.0807413796581196,4.52048888610811,15.8170293190673,0.0147704757287589,0.0177000294085732
"ENSG00000187583.PLEKHN1",-0.893439417086919,-0.388482193908686,-0.594480298531129,-0.799498226810334,-1.93490914618634,-1.54955065678502,-1.59739694061515,13.2530558256973,0.0391888480388887,0.0454911179279923
"ENSG00000187642.PERM1",1.25194079675964,2.23761083860185,1.83578145705525,1.86501739818241,2.68698079119562,3.20190108869234,-3.06674241524332,20.544677158705,0.0022140253516305,0.00280601244512149
"ENSG00000272512.ENSG00000272512",7.50275324680255,7.1960153270321,6.91407311158725,6.67464534735126,6.56007347601661,6.72019628939313,0.833069392846326,183.978875189042,4.8459879242172e-37,1.5301380769804e-36
"ENSG00000188290.HES4",9.71108697907713,9.37751542479817,9.21750461771092,9.34000300830753,9.179429629514,9.43715963692645,4.81820637825681,855.081292135653,1.92492154120723e-181,2.38891179704971e-180
"ENSG00000187608.ISG15",-2.08613010926265,-2.51416855674883,-2.46416349370991,-2.40917567413369,-2.11477260762612,-1.70673725423235,1.14439724509359,281.751399235438,6.62626245731876e-58,2.77596334051489e-57
"ENSG00000188157.AGRN",0.793089649693651,0.515538438007994,0.365159068442307,0.46773473121175,0.382482203333236,0.585365484021288,8.11321783826062,8.47135324049469,0.205563290313925,0.224160539282715
"ENSG00000242590.ENSG00000242590",0.839661123910959,0.556542367487735,0.445540106864897,0.579044536284513,0.492306126655268,0.690248137827775,4.03170883078879,10.4156877711028,0.108203032541616,0.120955172778904
"ENSG00000217801.ENSG00000217801",3.39379147889377,3.42436371118013,4.40269361613934,5.49588450522309,5.0689345575698,5.694966546293,2.64993483031253,452.998478328546,1.11062787215346e-94,6.89655232680192e-94
"ENSG00000273443.ENSG00000273443",1.80247995211676,5.11071307897663,7.21124011283075,8.67481584885379,9.15947534400905,10.0806293119544,-0.974838228599604,465.548365319392,2.20814702637434e-97,1.40963620447893e-96
"ENSG00000237330.RNF223",5.2601217621916,1.9933616525176,0.928827036630417,2.15078594906045,3.3039576859676,4.28360281939915,-3.58535986252705,35.3712144207906,3.6514460798053e-06,5.37875123708821e-06
"ENSG00000131591.C1orf159",-0.365582411299853,-0.379103445770893,-0.29874029241961,-0.241187415252308,-0.415374615249618,-0.400559076382018,3.4136222430848,7.06007145523105,0.315327558743459,0.337689219365942
"ENSG00000272141.ENSG00000272141",-5.35809091113896,-5.2054921259626,-2.88089160622372,-5.27866866359596,-3.99183807100196,-4.29693254568814,-3.84303997338167,69.5243725300722,5.11837256539552e-13,9.74676674424654e-13
"ENSG00000162571.TTLL10",-1.98760309860727,-3.66642428082736,-3.4068521263423,-4.25683162789816,-5.17645503951236,-2.6910260151062,-3.14705583846647,127.579263762328,4.15527095552452e-25,1.05661003191389e-24
"ENSG00000186891.TNFRSF18",-1.90575276161592,-7.45683384926704,-4.31238691578162,-3.56286095220974,-1.19086840755838,-0.700640581832907,-3.03214403867627,66.9281233819896,1.74104931293748e-12,3.26293778584386e-12
"ENSG00000186827.TNFRSF4",-0.760876724590412,-0.481915204454777,-0.815641316137719,-1.39795341283622,-1.40325859390929,-0.25866861219436,-3.35140067015755,6.56115602743592,0.363341875637398,0.38644326891496
"ENSG00000078808.SDF4",-0.645145616783858,-0.677832313949371,-0.622417759053144,-0.488619397791809,-0.720395624449796,-0.618537589825565,5.70349990197888,76.429560363555,1.94842518851369e-14,3.86362527803455e-14
"ENSG00000176022.B3GALT6",0.332419694794464,0.513558698030637,0.637906189744201,0.670562536121469,0.410574618625724,0.448486212048621,5.50346407799242,46.4350951601297,2.42503157623482e-08,3.93784193638475e-08
"ENSG00000184163.C1QTNF12",-2.17198180509841,-2.35592712094527,-2.00819183959149,-1.48210573816962,-1.92625093636673,-0.939788358137228,-1.024726473672,41.3407599827251,2.48081804847119e-07,3.86303409777572e-07
"ENSG00000260179.ENSG00000260179",-0.536133586967127,-0.137293999800857,-0.575642081851885,-0.937123461497216,-0.266099944449404,-0.531470491738488,-1.73345119513609,5.94329069631172,0.429572633066653,0.452707952533553
"ENSG00000160087.UBE2J2",-0.288319868436299,-0.317601205727678,-0.439757098667377,-0.364224915401219,-0.514631876223875,-0.482866898205461,5.29495588913118,38.0351296220092,1.10573616901964e-06,1.67142631011919e-06
"ENSG00000230415.LINC01786",1.19010998749472,1.48817309781081,1.19778455323734,1.12349135867417,1.39634639770259,1.84496269412264,-0.30795300855857,15.2552110568135,0.0183619681890521,0.0218629171983044
"ENSG00000162572.SCNN1D",1.36352565219904,1.12866315224278,0.971714875253699,1.31237878257856,1.51047091580152,1.75292835891751,2.53903138326588,61.3679487040532,2.37247131182199e-11,4.28887311451617e-11
"ENSG00000131584.ACAP3",3.18664689904677,3.04505061313792,2.93177291934942,2.75867250877073,2.72900880480282,2.69001146379366,8.1685383899132,241.342348851542,2.90101224643767e-49,1.08744703591615e-48
"ENSG00000278073.MIR6726",2.74861517802357,2.59824819323503,2.28973785989804,2.15399419143469,2.33292452462614,1.26205768046659,-2.2821836311897,9.87541253091172,0.129997670155114,0.144388980017022
"ENSG00000169972.PUSL1",-1.57733529656776,-1.78594931622116,-1.71661401457714,-1.53455774478012,-1.68773438439069,-1.4460689509025,3.8831094697545,288.688576797999,2.16699822791935e-59,9.25602786770017e-59
