img,sample,blinded_name,n_acidic,mito_mass,mito_number,acidic_normalized_neutral_mass,acidic_normalized_neutral_numbers
241129_IG2_TSB_009,TSB,A_10,2,57400,786,3.484320557491289e-05,0.002544529262086514
241129_IG2_control_006,control,A_11,4,109216,1380,3.66246703779666e-05,0.002898550724637681
241129_IG2_TSB_012,TSB,A_13,10,63088,902,0.0001585087496829825,0.011086474501108648
241129_IG2_control_011,control,A_14,6,50726,759,0.00011828253755470567,0.007905138339920948
241129_IG2_1229_001,1229,A_15,8,87892,1224,9.102079825240067e-05,0.006535947712418301
241129_IG2_TSB_004,TSB,A_17,5,51702,756,9.670805771536884e-05,0.006613756613756613
241129_IG2_1229_011,1229,A_18,6,57358,811,0.00010460615781582342,0.007398273736128237
241129_IG2_1229_007,1229,A_21,6,44917,713,0.00013357971369414698,0.008415147265077139
241129_IG2_control_001,control,A_23,21,86693,1285,0.00024223409041099051,0.01634241245136187
241129_IG2_1229_009,1229,A_25,7,66930,1019,0.00010458688181682355,0.0068694798822374874
241129_IG2_1229_008,1229,A_26,1,52905,800,1.890180512238919e-05,0.00125
241129_IG2_1229_006,1229,A_27,11,53533,733,0.00020548073151140418,0.015006821282401092
241129_IG2_1229_004,1229,A_28,6,95267,1427,6.298088530131106e-05,0.004204625087596356
241129_IG2_control_008,control,A_29,3,64251,939,4.6691880282018954e-05,0.003194888178913738
241129_IG2_TSB_003,TSB,A_2,3,52234,698,5.743385534326301e-05,0.004297994269340974
241129_IG2_control_007,control,A_30,5,90800,1176,5.506607929515419e-05,0.004251700680272109
241129_IG2_1229_010,1229,A_31,5,84102,1134,5.945161827304939e-05,0.004409171075837742
241129_IG2_TSB_010,TSB,A_32,7,57476,881,0.00012178996450692463,0.007945516458569807
241129_IG2_TSB_002,TSB,A_34,7,76744,894,9.121234233295111e-05,0.007829977628635347
241129_IG2_control_003,control,A_3,9,49757,717,0.0001808790722913359,0.012552301255230125
241129_IG2_1229_003,1229,A_4,4,109509,1572,3.652667817257029e-05,0.002544529262086514
241129_IG2_control_002,control,A_5,12,78487,1085,0.00015289156165989272,0.011059907834101382
241129_IG2_TSB_007,TSB,A_6,2,78907,914,2.5346293738198134e-05,0.002188183807439825
241129_IG2_TSB_001,TSB,A_8,13,87801,1084,0.00014806209496474984,0.011992619926199263
241129_IG2_TSB_011,TSB,A_9,5,52776,745,9.474003334849174e-05,0.006711409395973154
