img,sample,blinded_name,n_acidic,mito_mass,mito_number,acidic_normalized_neutral_mass,acidic_normalized_neutral_numbers
241122_IG1_TSB_006,TSB,A_10,9,130452,1616,6.899089320209733e-05,0.005569306930693069
241122_IG1_TSB_009,TSB,A_12,21,107522,1224,0.00019530886702256282,0.01715686274509804
241122_IG1_1229_010,1229,A_15,5,123378,1492,4.052586360615345e-05,0.003351206434316354
241122_IG1_TSB_003,TSB,A_16,21,147868,1820,0.00014201855709145995,0.011538461538461539
241122_IG1_TSB_001,TSB,A_17,10,99098,1107,0.00010091021009505742,0.009033423667570008
241122_IG1_1229_004,1229,A_19,12,99375,1165,0.00012075471698113207,0.010300429184549357
241122_IG1_TSB_002,TSB,A_1,22,131654,1574,0.00016710468348853815,0.01397712833545108
241122_IG1_1229_009,1229,A_20,19,102172,1224,0.00018596092863015307,0.015522875816993464
241122_IG1_1229_003,1229,A_23,14,124628,1338,0.00011233430689732644,0.01046337817638266
241122_IG1_1229_005,1229,A_24,11,103987,1213,0.00010578245357592776,0.009068425391591096
241122_IG1_1229_011,1229,A_25,13,133738,1490,9.72049828769684e-05,0.0087248322147651
241122_IG1_control_006,control,A_26,8,111698,1458,7.162169421117657e-05,0.0054869684499314125
241122_IG1_control_003,control,A_27,10,119394,1425,8.37563026617753e-05,0.007017543859649123
241122_IG1_1229_001,1229,A_28,4,81795,911,4.890274466654441e-05,0.0043907793633369925
241122_IG1_1229_008,1229,A_29,6,54046,676,0.00011101654146467824,0.008875739644970414
241122_IG1_control_011,control,A_2,18,103295,1259,0.00017425819255530278,0.014297061159650517
241122_IG1_control_010,control,A_30,14,116950,1381,0.00011970927746900384,0.010137581462708182
241122_IG1_TSB_005,TSB,A_31,12,103591,1189,0.00011584017916614378,0.010092514718250631
241122_IG1_TSB_004,TSB,A_32,5,116638,1538,4.2867676057545566e-05,0.003250975292587776
241122_IG1_control_005,control,A_3,20,140280,1638,0.00014257199885942402,0.01221001221001221
241122_IG1_1229_002,1229,A_4,0,130640,1577,0.0,0.0
241122_IG1_control_004,control,A_5,13,146500,1791,8.873720136518771e-05,0.0072585147962032385
241122_IG1_TSB_010,TSB,A_6,14,103531,1322,0.00013522519824979957,0.01059001512859304
241122_IG1_control_007,control,A_7,14,131009,1568,0.0001068628872825531,0.008928571428571428
241122_IG1_control_009,control,A_8,12,132475,1662,9.058312889224383e-05,0.007220216606498195
241122_IG1_TSB_007,TSB,A_9,10,129462,1465,7.724274304429099e-05,0.006825938566552901
