"","Day0 (1)","Day0 (2)","Day0 (3)","Day9 (1)","Day9 (2)","Day9 (3)","Day15 (1)","Day15 (2)","Day15 (3)","Day21 (1)","Day21 (2)","Day21 (3)","Day27 (1)","Day27 (2)","Day27 (3)","Day33 (1)","Day33 (2)","Day33 (3)","Day40 (1)","Day40 (2)","Day40 (3)"
"h0",100,102,101,34,37,39,22,29,27,15,23,24,13,17,16,9,12,10,7,11,8
"h6/12",97,93,95,55,60,59,36,45,44,32,40,38,31,35,33,18,30,28,14,26,21
"d1",87,85,86,64,65,66,61,63,62,56,58,57,52,54,53,49,51,43,41,46,42
"d2",72,69,70,90,89,88,82,84,83,79,81,80,77,78,76,74,75,73,68,71,67
"d5",50,48,47,168,167,166,138,150,134,120,116,118,108,104,103,99,98,96,94,92,91
"w2",25,20,19,160,153,139,163,165,154,152,129,137,131,121,119,122,114,107,109,106,105
"w4",4,2,1,117,115,112,147,155,148,162,149,159,161,141,140,156,133,125,130,123,124
"w5",6,5,3,113,110,111,132,144,136,157,143,158,164,145,146,151,142,126,135,127,128
