Pink1 3'UTR_miR-1229_10pmol,Pink1 3'UTR mut._miR-1229_10pmol,Pink1 3'UTR_Ctrl_10pmol,Pink1 3'UTR mut._Ctrl_10pmol
0.27158166,0.367434642,0.318059446,0.347956152
0.21571012,0.274807478,0.25164751,0.251324517
0.221102881,0.236101378,0.248843437,0.237954082
0.171118585,0.24034814,0.239287021,0.254951464
0.248991664,0.266814621,0.269936541,0.280490196
