Pink1 3'UTR_miR-1229_5pmol,Pink1 3'UTR_miR-1229_10pmol,Pink1 3'UTR_miR-1229_20pmol,Pink1 3'UTR_Ctrl_5pmol,Pink1 3'UTR_Ctrl_10pmol,Pink1 3'UTR_Ctrl_20pmol,Pink1 3'UTR mut._miR-1229_5pmol,Pink1 3'UTR mut._miR-1229_10pmol,Pink1 3'UTR mut._miR-1229_20pmol,Pink1 3'UTR mut._Ctrl_5pmol,Pink1 3'UTR mut._Ctrl_10pmol,Pink1 3'UTR mut._Ctrl_20pmol
0.056327157,0.046968296,0.055630596,0.069491715,0.060554,0.062335111,0.067368017,0.06679704,0.076145147,0.071795525,0.066183909,0.070836519
0.038287388,0.043054681,0.040267078,0.053348539,0.059614953,0.05428914,0.054010123,0.05233277,0.058023405,0.059446685,0.066995648,0.059747231
0.065132825,0.062248249,0.05497459,0.074893385,0.076111346,0.078640618,0.07525183,0.072712402,0.084985068,0.084005565,0.084919037,0.088334882
0.057150587,0.051349406,0.052753006,0.057933012,0.069890041,0.077591973,0.063758929,0.072048435,0.075367634,0.070725124,0.076591117,0.080186349
