"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000121410.A1BG",0.12189833614372,3.84041490307353,1.31228681742665,0.251981031685469,0.652809382914664
"ENSG00000175899.A2M",0.0318621711533572,0.631628715464449,0.0161135487834976,0.898988556986473,0.970562089427998
"ENSG00000094914.AAAS",-0.0473705214569194,5.90555971930006,0.482488024293074,0.487297500039334,0.815241809098256
"ENSG00000081760.AACS",0.0926880871862449,4.94591462295671,1.94983687782363,0.162604429777965,0.554625101678168
"ENSG00000109576.AADAT",-0.126743592914801,4.54486959464758,1.91131744233847,0.166816988453007,0.558786428705063
"ENSG00000103591.AAGAB",0.0040985666954812,5.92419182297108,0.00489926447036249,0.94419784145149,0.982463380784227
"ENSG00000115977.AAK1",-0.145954500773891,5.98479377211846,7.73993480275516,0.00540127510093955,0.106199018201763
"ENSG00000087884.AAMDC",0.0414692873667818,3.09632450787326,0.11562997429963,0.7338233349232,0.920698748426312
"ENSG00000127837.AAMP",0.108441996752812,6.89114718427845,4.17264900136076,0.0410815214520319,0.311931491391114
"ENSG00000131043.AAR2",0.0649443411913326,5.70230243644871,1.30122107901532,0.253990299906375,0.655752964742662
"ENSG00000205002.AARD",-0.0635357545585446,0.628945723326547,0.0419918766730341,0.837635257634676,0.953061004104645
"ENSG00000090861.AARS1",0.00268269958447899,7.18994557339655,0.00282985675948222,0.95757542553849,0.986422830816328
"ENSG00000124608.AARS2",-0.0245890802988896,5.87197587274746,0.159887666777559,0.689259960272651,0.905246959290444
"ENSG00000266967.AARSD1",0.0304107127443746,4.66873608681812,0.114878800393498,0.734656623209562,0.92101328454041
"ENSG00000234969.AARSD1P1",-0.907738923828296,-0.519664413411302,4.98973645427241,0.0254980919426022,0.251996023742265
"ENSG00000157426.AASDH",-0.0380343167383707,3.6376112925398,0.1684221086518,0.681517953647318,0.901631056339254
"ENSG00000149313.AASDHPPT",0.150992071671769,6.26114731142227,6.13855404332763,0.0132265426830908,0.183621179425384
"ENSG00000008311.AASS",-0.148923659845762,1.53837317347172,0.437307452892536,0.508424904315188,0.825976468485616
"ENSG00000276072.AATF",0.0146042064149401,5.49086151351925,0.0569517567950948,0.811380346954471,0.946022453277248
"ENSG00000181409.AATK",0.194907181310556,6.71119574104734,13.7834428802204,0.000205136148221398,0.014596902204154
"ENSG00000183044.ABAT",0.0960113285432464,6.50690962148886,2.58195135878677,0.108088339536349,0.471168044834208
"ENSG00000165029.ABCA1",-0.0436554221132653,0.619194696276474,0.0249619830167798,0.874461828430653,0.963649196330328
"ENSG00000154263.ABCA10",-0.254277687202342,-0.737302011248766,0.352756328743539,0.552556971096745,0.846972585602514
"ENSG00000251595.ABCA11P",0.133675046309141,2.40269298837102,0.732934798670213,0.391933556955689,0.760505619590316
"ENSG00000144452.ABCA12",-0.200518427823728,3.66939350632493,3.33961099599663,0.0676305963165277,0.388693846445336
"ENSG00000179869.ABCA13",-0.168094345473482,0.102280480060755,0.240080934159205,0.624147665970297,0.880619259049585
"ENSG00000238098.ABCA17P",-0.2887583080817,-0.381798999911494,0.542848881441835,0.461254449890071,0.798848178044836
"ENSG00000107331.ABCA2",0.0751335858191895,8.08745664604406,2.55181805443508,0.110167418046554,0.475294405076057
"ENSG00000167972.ABCA3",0.163149622726192,7.92194353632147,11.2152838855225,0.000811263985206822,0.0359199518585157
"ENSG00000154265.ABCA5",-0.302948076240783,2.16410807667957,2.94171794259456,0.0863188823246139,0.429011312783432
"ENSG00000064687.ABCA7",0.0246142686347373,4.62261781750595,0.0842759663854844,0.771584266652407,0.933261085167074
"ENSG00000085563.ABCB1",-0.0180353149819799,7.71135121180011,0.172876311256537,0.67756808843431,0.900391280166642
"ENSG00000135776.ABCB10",0.206419720417973,5.17080687348752,8.63142020676762,0.00330413880525615,0.0814748286583211
"ENSG00000276582.ABCB11",-0.0601799529708231,1.32990557122455,0.0709007774684269,0.790029736417784,0.940033160467317
"ENSG00000005471.ABCB4",-0.112957136626428,4.02377590306956,0.788566253376082,0.374534011350692,0.747757791639924
"ENSG00000115657.ABCB6",0.211079676342443,6.05567303722122,14.0024484921494,0.000182572730708299,0.0135058629454164
"ENSG00000131269.ABCB7",0.0647102496199415,4.75320148950944,0.821811539802574,0.364651046064863,0.74115622706029
"ENSG00000197150.ABCB8",-0.0263013909806294,6.3000531855566,0.204483061255576,0.651126324930708,0.890458522477783
"ENSG00000150967.ABCB9",0.153137178323112,3.04521432900505,1.42877497783533,0.231964466809572,0.631259338469392
"ENSG00000278183.ABCC1",-0.0425825134332571,7.33671736560345,0.721809508966341,0.395550998130676,0.76218163314851
"ENSG00000124574.ABCC10",0.0764829497600656,5.57591561170971,1.17318815213447,0.278747128197727,0.679555098447739
"ENSG00000023839.ABCC2",0.204560831946835,-0.60070656576802,0.268685733881155,0.604214758595779,0.87066385601819
"ENSG00000108846.ABCC3",-0.0409336535538,2.90879644860487,0.0490184555160766,0.824780121174296,0.948549591095785
"ENSG00000125257.ABCC4",0.114918004819151,5.22431978485872,3.17341071813044,0.0748459938304218,0.403665936752356
"ENSG00000114770.ABCC5",-0.0367594783837032,6.78146154439033,0.229688148134748,0.631755158395364,0.884007616059736
"ENSG00000275331.ABCC6",-0.00286233417186586,1.75187072865756,0.000230983106099369,0.987874114830816,0.996782194916285
"ENSG00000256340.ABCC6P1",0.140866158013007,-0.153480319541568,0.131997967728125,0.71636940594534,0.915078112401548
"ENSG00000273808.ABCC6P2",-0.280826247221336,-0.85225699324741,0.33506798238656,0.56269000554861,0.852794794918509
"ENSG00000006071.ABCC8",0.225468689986929,2.38700577414357,1.82200853517233,0.177074381219476,0.571371729337644
"ENSG00000069431.ABCC9",0.0314296934433938,2.47830058212381,0.0530582297100761,0.817824689569392,0.947283484248627
"ENSG00000101986.ABCD1",-0.14587801282416,5.4741714217319,4.24840852631763,0.0392871308863628,0.306722882358892
"ENSG00000173208.ABCD2",0.189885582486146,5.9190545916819,8.00524793645544,0.00466419759310182,0.0974784680191894
"ENSG00000117528.ABCD3",0.0578737784391179,6.04737381226339,1.17757989032963,0.277849233007543,0.679192064261691
"ENSG00000119688.ABCD4",-0.0745340888855844,5.63878300640032,1.39748496173395,0.237145124258215,0.637922518774168
"ENSG00000164163.ABCE1",0.0492305477853092,6.74589471734282,0.993012077371349,0.319007309134375,0.71215111944144
"ENSG00000236149.ABCF1",-0.0572673854482934,7.46900515753771,1.49549307953705,0.221366129597722,0.622334457203135
"ENSG00000033050.ABCF2",0.0653787352506084,6.43569549649301,1.50811528377906,0.219426902731529,0.621010732794627
"ENSG00000285292.ABCF2-H2BK1",-0.087654464679493,4.83134790971617,0.878247817771653,0.348682037447921,0.731997146050053
"ENSG00000161204.ABCF3",-0.0945865088630169,5.52051487768532,2.18112161263283,0.139712610612863,0.521149660606093
"ENSG00000160179.ABCG1",-0.242522290757266,3.30840353596316,5.86329973167371,0.015459784677136,0.200186795866935
"ENSG00000172350.ABCG4",-0.304320936979526,1.17462232925077,1.33703777081786,0.247557039587187,0.648336468264134
"ENSG00000143994.ABHD1",-0.139400393119199,1.6812255240389,0.456704003570346,0.499168403516883,0.820580137926598
"ENSG00000144827.ABHD10",0.0384822507658569,4.79932708230273,0.247150676935833,0.619088557851166,0.87742084067667
"ENSG00000106077.ABHD11",-0.199223512211739,3.85572914747503,3.85825047911903,0.0495019208391958,0.339938972012915
"ENSG00000100997.ABHD12",0.213116767085454,5.77762152313027,13.0662231682005,0.000300668791213725,0.0186011429795786
"ENSG00000131969.ABHD12B",-0.364166251105287,-1.00206116268138,0.599337661731745,0.43883084977302,0.786925403595132
"ENSG00000139826.ABHD13",0.180917019691569,4.17601615889236,3.86073625035394,0.0494286336969698,0.339876802225702
"ENSG00000248487.ABHD14A",0.154792134041724,4.44947277594046,3.88474021575558,0.0487268002871939,0.338095614105165
"ENSG00000114786.ABHD14A-ACY1",0.1960342025723,2.3178339175018,0.769778191308227,0.380285679362103,0.752663431352041
"ENSG00000114779.ABHD14B",0.212537270070951,4.28288337970718,5.56384612827527,0.0183350901117977,0.215903271505589
"ENSG00000168792.ABHD15",0.164073039805743,3.77812839605824,1.8981952084849,0.168280471806943,0.560400409880896
"ENSG00000231488.ABHD16A",0.000965374503460397,5.06640910201059,0.000155850503234412,0.990039459968781,0.997583253561261
"ENSG00000183260.ABHD16B",-0.240783501009644,2.87306542302642,3.86392401660107,0.0493348175517515,0.339876802225702
"ENSG00000129968.ABHD17A",0.117359457338194,7.42669170301983,6.39233927014001,0.0114613889824979,0.169966586928515
"ENSG00000107362.ABHD17B",-0.0459111755103231,4.7639361772804,0.39790699118403,0.528172158048128,0.836333215822102
"ENSG00000136379.ABHD17C",-0.00908205487275972,3.55165934053579,0.00752043605275343,0.930893722716909,0.979308531957302
"ENSG00000164074.ABHD18",-0.184416068461769,3.46368992552478,2.02904919372927,0.15431712332154,0.542345406602328
"ENSG00000140526.ABHD2",0.14370929678871,7.59225059068674,6.63273978466228,0.0100121150765741,0.158386880734959
"ENSG00000158201.ABHD3",0.0795074577161727,3.03085847436585,0.423423294607498,0.51523381064117,0.827813369360172
"ENSG00000100439.ABHD4",-0.110711454107916,3.47218116907461,1.11638168432769,0.290698907032834,0.690465093355961
"ENSG00000011198.ABHD5",0.0579913854627234,5.19395616143458,0.471438416964081,0.49232617274497,0.817879933221576
"ENSG00000163686.ABHD6",0.223296685156774,3.37710309422317,3.10391013734893,0.0781044907345703,0.410696142458301
"ENSG00000127220.ABHD8",0.0290117977994496,5.49584988684812,0.227011689289903,0.633748523405757,0.88453937847314
"ENSG00000136754.ABI1",-0.0307697540491288,5.0329991034639,0.162817474736254,0.686575672920688,0.904272309058144
"ENSG00000138443.ABI2",-0.0330727352512996,7.53204220067046,0.504375752902149,0.477583738375543,0.809084057993523
"ENSG00000154175.ABI3BP",-0.22554992582805,-0.601667159928628,0.28082475224724,0.596161153818017,0.866970722784998
"ENSG00000119328.ABITRAM",0.0501331696049312,3.69208288663513,0.172401031351905,0.677986691669224,0.900746588999441
"ENSG00000097007.ABL1",-0.165642045796267,7.73843397649364,9.69344255054253,0.00184926755538735,0.0581431224913973
"ENSG00000143322.ABL2",0.0052744108528784,6.28748750481227,0.00939828918178343,0.922770251827375,0.976831671369826
"ENSG00000099204.ABLIM1",-0.0389091892178424,7.70545442672294,0.569333616768311,0.450523840879954,0.792580380771033
"ENSG00000163995.ABLIM2",-0.190155584682287,2.53460094543142,1.36938450973329,0.241917661586758,0.642295963170848
"ENSG00000173210.ABLIM3",-0.739014979905439,0.032765755782599,4.9931400142029,0.0254479901048707,0.251833984196744
"ENSG00000276016.ABR",0.0435243489666899,8.07546453206866,0.799042872196004,0.371379689138202,0.744802938503846
"ENSG00000146386.ABRACL",0.0363662810083375,3.0304654420017,0.107003665813725,0.743581551409393,0.923888768947483
"ENSG00000163322.ABRAXAS1",0.0171167119803648,2.99480937520847,0.0183766852501082,0.892168628315014,0.969395813766319
"ENSG00000165660.ABRAXAS2",0.0943889456349754,4.69393333831189,1.51411451662704,0.21851231957004,0.620369332008777
"ENSG00000146109.ABT1",0.0423885595104122,5.1733316462327,0.354234639112197,0.551725736734688,0.846897010629766
"ENSG00000114626.ABTB1",-0.0846309333185508,4.22831694847214,0.917915369353729,0.338022924161596,0.725104300279461
"ENSG00000166016.ABTB2",0.178338448144372,4.65298042412262,3.22887389230526,0.0723504237989422,0.399236478149037
"ENSG00000060971.ACAA1",0.0271385003273945,4.78851279519898,0.111638235092397,0.738286681757157,0.922065646299007
"ENSG00000167315.ACAA2",-0.0188030757493369,6.61598563437503,0.122731810967537,0.72609030142581,0.917890081739497
"ENSG00000275176.ACACA",0.0517348088183276,7.06592654608039,0.895576258964233,0.343970654689077,0.729692432285474
"ENSG00000076555.ACACB",-0.117929544834015,5.26951279903873,1.61474239120962,0.203826447268334,0.602170542018725
"ENSG00000111271.ACAD10",0.0152578535330727,4.99538327436956,0.0365799831044562,0.848322726354069,0.956475417591252
"ENSG00000240303.ACAD11",-0.10484027114825,4.38899707905412,1.63649872852305,0.20080653417483,0.599431836035808
"ENSG00000151498.ACAD8",-0.0132410654575729,5.20983482747882,0.0284950015111445,0.865950320102025,0.961619703692516
"ENSG00000177646.ACAD9",-0.0879623212658813,5.63097099264206,2.08402829386403,0.148846910732537,0.535632714770275
"ENSG00000115361.ACADL",-0.091287108938304,0.540575211058599,0.0779068654340129,0.78015425953958,0.936271020562111
"ENSG00000117054.ACADM",0.0382601325024627,5.81474277925337,0.393768889354543,0.530324936638903,0.837117779616931
"ENSG00000122971.ACADS",0.213959178713497,3.41935699219238,4.04187516155765,0.0443844783162409,0.324162883421109
"ENSG00000196177.ACADSB",0.186786442953205,4.57979238031681,5.02991074456389,0.0249131823029594,0.24950402526076
"ENSG00000072778.ACADVL",0.0885435067520983,7.62309176690144,2.60755909368257,0.1063553510794,0.468810622766808
"ENSG00000288169.ACAP1",0.127027981020332,-0.164749377555708,0.121965805978394,0.726912117561145,0.918084893190063
"ENSG00000114331.ACAP2",0.0558720132408179,5.39866586438409,0.517142410128464,0.472063200493794,0.805623618659063
"ENSG00000131584.ACAP3",-0.137719678265866,8.1364320483646,5.45867300782714,0.0194714286196498,0.222447674207512
"ENSG00000075239.ACAT1",0.200489447068224,6.52179025885837,16.7440488883756,4.27762229646601e-05,0.00435117783652921
"ENSG00000120437.ACAT2",-0.0539211581036802,5.6895017502474,0.470100961784294,0.492940725074503,0.818015909571224
"ENSG00000182827.ACBD3",0.0738183206379748,6.22663873460161,1.89334609112349,0.168824998037087,0.561539670821474
"ENSG00000181513.ACBD4",0.150649727702353,2.23604595260165,0.605497338563717,0.436488196226293,0.78581920164923
"ENSG00000107897.ACBD5",0.101599229051636,6.11768630303984,3.06360063577163,0.0800640707265897,0.413486846024649
"ENSG00000230124.ACBD6",-0.00203245380950436,6.41528913452424,0.00171241890844342,0.966991853820583,0.989178717274602
"ENSG00000176244.ACBD7",-0.100572394077591,3.68900461007501,1.05527826315934,0.304294579530048,0.700735808099442
"ENSG00000110455.ACCS",-0.0213165700161927,3.81283895234536,0.0340370517526525,0.853628026149253,0.957782359748923
"ENSG00000102977.ACD",-0.0785528604065857,5.36026924388594,1.59677212598677,0.206361248022788,0.606780033294868
"ENSG00000159640.ACE",0.302648400262146,5.87489886539803,26.190079583101,3.09407971664871e-07,8.89131407805417e-05
"ENSG00000130234.ACE2",-0.243853583169887,0.656967601393671,0.768251310540991,0.380758567603746,0.752801703585972
"ENSG00000177076.ACER2",-0.195097337862418,1.61858939796461,0.546169729676374,0.459886977754201,0.798287251510164
"ENSG00000078124.ACER3",-0.137542157067422,4.96125886040907,4.76372392756923,0.0290655977814541,0.268268824983489
"ENSG00000087085.ACHE",0.0556160031152437,3.72632802680089,0.129221915609442,0.719240151329135,0.916451818222299
"ENSG00000100813.ACIN1",-0.113710037177987,7.9235681497699,6.7104604755208,0.00958489710570478,0.154630238366244
"ENSG00000144648.ACKR2",0.477411664021885,-0.717645705151894,1.01680169343502,0.313278859582272,0.708052137090704
"ENSG00000131473.ACLY",0.12384055587725,8.8141938595635,7.85210855813224,0.00507614697322391,0.101590224987196
"ENSG00000122729.ACO1",0.128966153998051,4.85255827313649,1.74917262186123,0.185980779133064,0.581647296480825
"ENSG00000100412.ACO2",0.0713856428447072,6.42624314018667,2.25114890593498,0.133515241325292,0.510765587485633
"ENSG00000184227.ACOT1",0.0258160783235422,2.76444010553494,0.0325523853164711,0.856820659356019,0.95816233042729
"ENSG00000162390.ACOT11",0.0293684320816657,4.08603830214326,0.112246454468517,0.737600932132821,0.921646519680637
"ENSG00000112304.ACOT13",-0.011632503718072,4.33359029008775,0.0138056672844931,0.90646580892157,0.972239754722313
"ENSG00000119673.ACOT2",0.0106066946572525,5.46020086190116,0.0208816021026372,0.885101962334482,0.967030680936183
"ENSG00000177465.ACOT4",0.104170386448309,-1.03758322417508,0.0534775738090172,0.817118889493729,0.947192579676709
"ENSG00000097021.ACOT7",-0.00672768761828723,7.44677108904793,0.0196538666147461,0.888508096011963,0.968557745725947
"ENSG00000101473.ACOT8",-0.030155540041979,4.32043425363724,0.126477779748534,0.722112321355198,0.917652226468786
"ENSG00000123130.ACOT9",-0.021682435730245,4.87255764500631,0.0811444240061876,0.77575247213556,0.934831589721984
"ENSG00000161533.ACOX1",0.090102579546374,5.85260335239147,2.54028185872923,0.110974974423038,0.476543559512783
"ENSG00000087008.ACOX3",-0.0217101905447385,4.30109389213512,0.0669509324186768,0.795829077952429,0.940913684589244
"ENSG00000153093.ACOXL",-0.0190061114792631,1.48149683907951,0.00666750069577571,0.934921250243818,0.981076421516388
"ENSG00000143727.ACP1",-0.0546534194104628,7.0491181269206,1.38581626178635,0.239112905405716,0.639839198437956
"ENSG00000134575.ACP2",0.136622346283264,5.26261090312555,4.14680213779097,0.0417132312968307,0.314173798018418
"ENSG00000014257.ACP3",0.725630876444501,0.921164937683336,9.27115670435321,0.00232790641584825,0.0663205662420742
"ENSG00000162836.ACP6",-0.00804558041750796,3.49635562392264,0.00388595333776909,0.950294133355521,0.984009786898451
"ENSG00000111644.ACRBP",-0.0232282076867816,-0.401856047830699,0.00259494504028446,0.959372850928362,0.987282645198744
"ENSG00000103740.ACSBG1",-0.277096061338683,-0.660789339591755,0.268166207638878,0.604564556651592,0.87066385601819
"ENSG00000167107.ACSF2",-0.0774960269837771,4.57306524381617,0.806260736599596,0.369228079468701,0.743738463182574
"ENSG00000176715.ACSF3",-0.0118096020016096,5.67455678010073,0.03054971544893,0.861248756740216,0.959872796874393
"ENSG00000151726.ACSL1",0.0752179177433245,5.71322508277385,1.1711147089739,0.279172316184358,0.679979123185469
"ENSG00000123983.ACSL3",0.17222111901031,6.37108322603391,9.36443169686062,0.00221236582201101,0.0649277102207215
"ENSG00000068366.ACSL4",0.0162016907631175,5.41171561304919,0.0688204639639705,0.793061987841606,0.940384485344955
"ENSG00000164398.ACSL6",0.211576879997821,1.95832267848498,1.0151509279134,0.313671990576003,0.708054548695636
"ENSG00000005187.ACSM3",0.0169529147283194,-1.22565674437242,0.00126488811536429,0.971629004845961,0.990453115452158
"ENSG00000131069.ACSS2",0.115054389592648,5.27619767272344,2.37997034633942,0.122899879817598,0.497155631866367
"ENSG00000107796.ACTA2",0.139844952700085,3.44958297629764,1.12331542899355,0.289205674768487,0.690025082198814
"ENSG00000075624.ACTB",-0.0661175713026997,11.4081808370275,1.58793015368948,0.207622106532452,0.608213514588204
"ENSG00000172900.ACTE1P",-0.154654756923184,0.845063558496682,0.367208656031063,0.54452973507579,0.844412433785308
"ENSG00000184009.ACTG1",0.00791681028499691,10.504484419968,0.0115744474485382,0.914325208738497,0.974343760396822
"ENSG00000178631.ACTG1P1",0.150325636875397,-0.761128009976082,0.091769323376548,0.761939763523931,0.930125470659105
"ENSG00000259315.ACTG1P17",0.384210720478459,0.249854953771152,1.32900503331258,0.248982300526682,0.649271620120051
"ENSG00000241547.ACTG1P20",-0.415744942477789,-0.200572336420405,1.26429014010246,0.260840585108041,0.662382493976906
"ENSG00000234996.ACTG1P25",0.17447244960774,1.60699812129893,0.637831453116395,0.424497151980488,0.778983291421396
"ENSG00000288649.ACTL10",0.620098260254136,1.71962967902158,11.9672583169298,0.000541435482230705,0.0268121732608717
"ENSG00000136518.ACTL6A",-0.0349509687586971,5.96675399196574,0.458645609559249,0.498257630449081,0.820075313558829
"ENSG00000077080.ACTL6B",-0.0109990235706905,5.06247253661861,0.0239357741227701,0.877048442710112,0.964232568360415
"ENSG00000072110.ACTN1",0.0195031848765661,7.4304272758726,0.175725300299305,0.675072883087657,0.899822933398224
"ENSG00000077522.ACTN2",-0.278497029972008,2.78271904105693,4.19843106974955,0.040461397423017,0.310938653216539
"ENSG00000282844.ACTN4",-0.0354440392428458,7.73291127016609,0.636793774050997,0.424874208317734,0.779145833432715
"ENSG00000131966.ACTR10",0.0183052683265479,5.31259224876707,0.0905880560810726,0.763430891074587,0.930288984191593
"ENSG00000138107.ACTR1A",-0.0522743119975258,7.44845281773363,1.05961986058642,0.303301901939285,0.70005725675099
"ENSG00000115073.ACTR1B",0.0711780936292421,5.69123471601957,1.48388879627122,0.223167073864349,0.623524196598866
"ENSG00000138071.ACTR2",-0.020869641741156,8.14655754848657,0.184408571582775,0.667611641426398,0.897415744913425
"ENSG00000115091.ACTR3",0.0722108054266171,6.96321325522908,1.46857624689438,0.225570464267257,0.626423610787455
"ENSG00000133627.ACTR3B",0.193591878169459,5.28777460210253,8.44918993420382,0.00365206072512299,0.0850042732328861
"ENSG00000106526.ACTR3C",0.0365482430652135,1.58661676410742,0.0237049140238303,0.877638119048412,0.964491833927858
"ENSG00000101442.ACTR5",-0.0132869228867487,4.56158583196364,0.0315023614670595,0.859124268626968,0.958783773843664
"ENSG00000075089.ACTR6",0.0118556744644089,5.01622300752234,0.0244299395816112,0.875795927039179,0.964232568360415
"ENSG00000113812.ACTR8",-0.0332409226533907,5.06502041746078,0.233645834517866,0.628833575866199,0.882812863976758
"ENSG00000184378.ACTRT3",-0.0353314154550217,0.995470975385257,0.0203965149418646,0.886435209876265,0.967496993731723
"ENSG00000115170.ACVR1",0.113666424277248,5.04719210779695,2.23969112491586,0.134507846429108,0.511972059760228
"ENSG00000135503.ACVR1B",-0.181650137156192,5.72577732753246,6.14493831309811,0.0131788762795231,0.183482032160115
"ENSG00000121989.ACVR2A",-0.0567940058226054,3.7044780175709,0.245911917505828,0.619968446720419,0.87806606314777
"ENSG00000114739.ACVR2B",-0.0759855095347547,5.89688917748923,1.50227924216354,0.220320996084209,0.621773688738077
"ENSG00000139567.ACVRL1",0.216361643518141,2.19257727754419,1.16680558524252,0.280058580205834,0.681433399097119
"ENSG00000243989.ACY1",0.102495157189551,4.87688339661288,1.55531277077942,0.212352842631228,0.613532197880596
