"","feature","sample","Novogene","Sample_Name","experiment","condition","mimic_amount","cond_name","SV1","medianLength","gene_name","gene_id","DEA.logFC","DEA.logCPM","DEA.LR","DEA.PValue","DEA.FDR","DEA.ind.MiR.logFC","DEA.ind.MiR.logCPM","DEA.ind.MiR.LR","DEA.ind.MiR.PValue","DEA.ind.MiR.FDR","DEA.ind.any.logFC.conditionCtrl.MiR","DEA.ind.any.logFC.conditionMiR","DEA.ind.any.logCPM","DEA.ind.any.LR","DEA.ind.any.PValue","DEA.ind.any.FDR","logcpm"
"B_2.22","ENSG00000064393.HIPK2","B_2","B_2","N2_Ctrl-MiR","N2","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.131033156404189,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.40903821972385
"B_2.58","ENSG00000213463.SYNJ2BP","B_2","B_2","N2_Ctrl-MiR","N2","Ctrl-MiR",0.5,"miR-1229 (10nM)",-0.131033156404189,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,3.87082245642333
"B_3.2","ENSG00000170540.ARL6IP1","B_3","B_3","N2_MiR","N2","MiR",1,"miR-1229 (20nM)",-0.142208442114695,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,5.02332790000006
"B_3.14","ENSG00000080845.DLGAP4","B_3","B_3","N2_MiR","N2","MiR",1,"miR-1229 (20nM)",-0.142208442114695,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.40625952411233
"B_3.16","ENSG00000110321.EIF4G2","B_3","B_3","N2_MiR","N2","MiR",1,"miR-1229 (20nM)",-0.142208442114695,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,6.28522428039828
"B_3.22","ENSG00000064393.HIPK2","B_3","B_3","N2_MiR","N2","MiR",1,"miR-1229 (20nM)",-0.142208442114695,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.20583997033897
"B_3.58","ENSG00000213463.SYNJ2BP","B_3","B_3","N2_MiR","N2","MiR",1,"miR-1229 (20nM)",-0.142208442114695,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,3.93057380218491
"C_1.2","ENSG00000170540.ARL6IP1","C_1","C_1","N3_Ctrl","N3","Ctrl",0,"Ctrl.",-0.0260950602220886,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,5.45897747953682
"C_1.14","ENSG00000080845.DLGAP4","C_1","C_1","N3_Ctrl","N3","Ctrl",0,"Ctrl.",-0.0260950602220886,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.72713859554109
"C_1.16","ENSG00000110321.EIF4G2","C_1","C_1","N3_Ctrl","N3","Ctrl",0,"Ctrl.",-0.0260950602220886,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,7.05855415555542
"C_1.22","ENSG00000064393.HIPK2","C_1","C_1","N3_Ctrl","N3","Ctrl",0,"Ctrl.",-0.0260950602220886,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.86137935798666
"C_1.58","ENSG00000213463.SYNJ2BP","C_1","C_1","N3_Ctrl","N3","Ctrl",0,"Ctrl.",-0.0260950602220886,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,4.10828024100425
"C_2.2","ENSG00000170540.ARL6IP1","C_2","C_2","N3_Ctrl-MiR","N3","Ctrl-MiR",0.5,"miR-1229 (10nM)",0.0515420422403417,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,5.18319099292261
"C_2.14","ENSG00000080845.DLGAP4","C_2","C_2","N3_Ctrl-MiR","N3","Ctrl-MiR",0.5,"miR-1229 (10nM)",0.0515420422403417,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.63148888772485
"C_2.16","ENSG00000110321.EIF4G2","C_2","C_2","N3_Ctrl-MiR","N3","Ctrl-MiR",0.5,"miR-1229 (10nM)",0.0515420422403417,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,6.52905539755747
"C_2.22","ENSG00000064393.HIPK2","C_2","C_2","N3_Ctrl-MiR","N3","Ctrl-MiR",0.5,"miR-1229 (10nM)",0.0515420422403417,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.48179218927441
"C_2.58","ENSG00000213463.SYNJ2BP","C_2","C_2","N3_Ctrl-MiR","N3","Ctrl-MiR",0.5,"miR-1229 (10nM)",0.0515420422403417,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,3.82407425902131
"C_3.2","ENSG00000170540.ARL6IP1","C_3","C_3","N3_MiR","N3","MiR",1,"miR-1229 (20nM)",0.913994781565147,1786.48751849951,"ARL6IP1","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,-0.636126347094924,7.49925636784526,108.42058552776,2.17388190914308e-25,1.01513491776016e-22,-0.457510967106037,-0.636126347094924,7.49925636784526,126.40869962947,3.55385449996502e-28,1.71307250945088e-25,4.977265531652
"C_3.14","ENSG00000080845.DLGAP4","C_3","C_3","N3_MiR","N3","MiR",1,"miR-1229 (20nM)",0.913994781565147,2558.39634535584,"DLGAP4","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,-0.499509819805859,6.61686463618466,68.7727518514238,1.10488792526232e-16,1.77530540507472e-14,-0.254239117900259,-0.499509819805859,6.61686463618466,69.9271445091057,6.53903259551029e-16,9.218185290067e-14,4.53403362540569
"C_3.16","ENSG00000110321.EIF4G2","C_3","C_3","N3_MiR","N3","MiR",1,"miR-1229 (20nM)",0.913994781565147,2935.80952439827,"EIF4G2","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,-0.791783505731636,-1.16575952877849,9.57104897399927,338.55982185255,3.03856679514094e-74,4.54053036197911e-70,6.09579762935119
"C_3.22","ENSG00000064393.HIPK2","C_3","C_3","N3_MiR","N3","MiR",1,"miR-1229 (20nM)",0.913994781565147,12589.4867183639,"HIPK2","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,-0.686286631014706,-0.974257871231205,6.56229619027042,256.488037738181,2.01525620978935e-56,7.52849338572058e-53,4.4888203697621
"C_3.58","ENSG00000213463.SYNJ2BP","C_3","C_3","N3_MiR","N3","MiR",1,"miR-1229 (20nM)",0.913994781565147,4692.98502786558,"SYNJ2BP","ENSG00000213463",-0.366213053596184,5.70881344781167,13.2897012381468,0.000266868004150761,0.00258948609482131,-0.320954235848216,5.70887350336057,26.1708651418117,3.12502066011581e-07,9.26531423097432e-06,-0.42668384032678,-0.320954235848216,5.70887350336057,58.878028762485,1.6398287697237e-13,1.65567306121495e-11,3.77795147190662
