"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"1","Mean1",671,0.113632803222106,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",669,675,0.00103091220569734,0.00105112617051489,2.382,0.794,1.588,0.00104101918810612,6.39790777964128,266.387,265.593,267.975
"1","Mean1",694,0.119939560245195,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",692,700,0.0017434544655175,0.00333530419490303,3.176,0.794,2.382,0.00253937933021026,6.67113979276196,275.518,274.724,277.9
"1","Mean1",729,0.142205242491775,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",726,733,0.00239535483088501,0.0042651465765125,2.779,1.191,1.588,0.00333025070369875,7.89142296644174,289.413,288.222,291.001
"1","Mean1",80,0.0883047053056604,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",79,83,0.00525563085257446,0.0264297589990044,1.588,0.397,1.191,0.0158426949257894,4.11757628600882,31.76,31.363,32.951
"1","Mean2",13,0.109869275126045,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",12,14,0.086966760257223,0.0860429308939408,0.794,0.397,0.397,0.0865048455755819,1.3276587352293,5.161,4.764,5.558
"1","Mean2",22,0.0821423180267487,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",19,24,0.0724572049633185,0.0605379947468525,1.985,1.191,0.794,0.0664975998550855,0.888994387641583,8.734,7.543,9.528
"1","Mean2",26,0.0813211363704978,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",24,28,0.0605379947468525,0.0476768408658635,1.588,0.794,0.794,0.054107417806358,1.54639046896975,10.322,9.528,11.116
"1","Mean3",12,0.100374191821319,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",11,15,0.080494887596967,0.0625418274294827,1.588,0.397,1.191,0.0715183575132249,1.63970194088093,4.764,4.367,5.955
"1","Mean3",17,0.0793193549701172,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",15,19,0.0625418274294827,0.0549299626972074,1.588,0.794,0.794,0.058735895063345,1.1696331077737,6.749,5.955,7.543
"1","Mean3",189,0.0850980871407207,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",188,193,0.0163177895331041,0.0072510576883908,1.985,0.397,1.588,0.0117844236107474,4.16597056594091,75.033,74.636,76.621
