"","blinding","Count_MitoinSoma","Count_Soma","Count_mtDNA","Count_mtDNAinMito","Count_mtDNAoutside","ImageNumber","MitoLength","MitoArea","mtDNAIntensity","Diff","file","Condition","Percentage_of_mtDNA"
"27","nv12_11",147,2,1613,895,718,"02",20.4031593406593,127.862637362637,0.00884398353523972,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_02.vsi_zmax.tif","Ctrl",0.55486670799752
"28","nv12_12",385,2,1515,1031,484,"01",21.5309956167815,141.88541014402,0.0106914471320932,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_01.vsi_zmax.tif","Ctrl",0.680528052805281
"29","nv12_13",122,1,1824,1306,518,"05",20.5141361256544,134.06387434555,0.00929053227319918,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_05.vsi_zmax.tif","Ctrl",0.716008771929825
"30","nv12_14",151,2,2950,1070,1880,"08",17.2420779220779,108.737662337662,0.0133479233057361,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_08.vsi_zmax.tif","1229",0.36271186440678
"31","nv12_15",88,1,3249,1401,1848,"06",19.414372375175,127,0.0140397918790296,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_06.vsi_zmax.tif","1229",0.431209602954755
"32","nv12_16",211,2,3056,993,2063,"04",16.4747120681022,97.0510766149224,0.0138481818304439,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_04.vsi_zmax.tif","1229",0.324934554973822
"33","nv12_17",141,2,1856,1095,761,"11",18.3699136868064,119.138101109741,0.00964298004096385,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_11.vsi_zmax.tif","Ctrl",0.589978448275862
"34","nv12_18",194,2,3307,825,2482,"01",17.1442231075697,101.233466135458,0.0141176234205267,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_01.vsi_zmax.tif","1229",0.249470819473843
"35","nv12_19",93,1,2105,1202,903,"12",17.9880434782609,107.930434782609,0.00900928784516243,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_12.vsi_zmax.tif","Ctrl",0.571021377672209
"36","nv12_2",371,4,2409,614,1795,"03",18.1364365971108,108.358747993579,0.0139515861066063,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_03.vsi_zmax.tif","1229",0.254877542548775
"37","nv12_20",20,1,1301,634,667,"07",18.7247422680412,109.588659793814,0.00861209473378286,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_07.vsi_zmax.tif","Ctrl",0.487317448116833
"38","nv12_21",0,0,2437,338,2099,"02",14.8946459412781,74.4611398963731,0.0126262030761285,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_02.vsi_zmax.tif","1229",0.138695116947066
"39","nv12_3",42,1,2736,1274,1462,"07",19.3378938640133,127.172470978441,0.0141525385175243,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_07.vsi_zmax.tif","1229",0.465643274853801
"40","nv12_4",0,0,1429,940,489,"10",18.7007963594994,116.011376564278,0.00876656759870629,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_10.vsi_zmax.tif","Ctrl",0.657802659202239
"41","nv12_5",115,1,1137,818,319,"03",23.2212978369384,154.853577371048,0.00930629513277605,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_03.vsi_zmax.tif","Ctrl",0.719437115215479
"42","nv12_6",172,1,1809,1401,408,"06",21.2365795724466,149.115914489311,0.00989672845660607,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_06.vsi_zmax.tif","Ctrl",0.774461028192372
"43","nv12_7",218,1,1984,1379,605,"04",20.5284761416111,143.131862493586,0.0110161256522092,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_04.vsi_zmax.tif","Ctrl",0.695060483870968
"44","nv12_8",55,1,2349,843,1506,"09",18.4427672955975,111.058490566038,0.0130416264841674,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_09.vsi_zmax.tif","1229",0.358876117496807
"45","nv12_9",196,3,2594,579,2015,"05",16.7644024075666,96.6543422184007,0.0141717903858966,"n2","20250411_Nv12_Rhod2_PKMO_Sybr_DIV22_zstack_1229_05.vsi_zmax.tif","1229",0.223207401696222
"46","nv13_1",137,1,2458,1879,579,"09",22.1755034936293,122.314426633785,0.00460920409675714,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_09.vsi_zmax.tif","Ctrl",0.764442636289666
"47","nv13_10",139,1,1750,1502,248,"02",22.1698732989207,133.963397465978,0.00448217706443047,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_02.vsi_zmax.tif","Ctrl",0.858285714285714
"48","nv13_11",167,1,1470,1091,379,"09",20.3824495541999,99.4697325199437,0.00517429705150452,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_09.vsi_zmax.tif","1229",0.742176870748299
"49","nv13_12",330,2,2426,1731,695,"12",19.6263603385732,104.789197904071,0.00446490547813062,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_12.vsi_zmax.tif","Ctrl",0.713520197856554
"50","nv13_13",35,1,1223,844,379,"12",20.7291666666667,102.9765625,0.00518808060127224,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_12.vsi_zmax.tif","1229",0.690106295993459
"51","nv13_14",117,1,1549,1263,286,"05",22.3024307518372,135.793103448276,0.00456418636610084,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_05.vsi_zmax.tif","Ctrl",0.81536475145255
"52","nv13_15",15,2,1353,989,364,"11",19.3133304757823,91.8979854264895,0.00523171517964437,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_11.vsi_zmax.tif","1229",0.730968218773097
"53","nv13_16",98,2,1192,601,591,"03",17.8162518301611,77.5095168374817,0.0051958671826418,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_03.vsi_zmax.tif","1229",0.504194630872483
"54","nv13_17",147,1,2036,1648,388,"06",22.1569464201043,129.992413466098,0.0046040902665403,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_06.vsi_zmax.tif","Ctrl",0.80943025540275
"55","nv13_18",187,2,1958,1339,619,"11",19.4115308151093,100.681411530815,0.00428277020244551,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_11.vsi_zmax.tif","Ctrl",0.683861082737487
"56","nv13_19",29,1,1238,913,325,"14",20.6679035250464,102.969078540507,0.00512918417923866,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_14.vsi_zmax.tif","1229",0.737479806138934
"57","nv13_2",138,2,2280,1786,494,"10",21.4968676585748,118.115113547377,0.00432695658502218,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_10.vsi_zmax.tif","Ctrl",0.783333333333333
"58","nv13_20",76,1,1223,774,449,"05",18.9993946731235,87.0950363196126,0.00519892219813726,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_05.vsi_zmax.tif","1229",0.632869991823385
"59","nv13_21",220,1,1607,1356,251,"04",24.0348432055749,155.484320557491,0.00474781690357006,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_04.vsi_zmax.tif","Ctrl",0.84380833851898
"60","nv13_22",77,1,1342,792,550,"06",18.1261127596439,80.0054401582591,0.00517402082697619,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_06.vsi_zmax.tif","1229",0.590163934426229
"61","nv13_23",78,1,1210,639,571,"04",17.721906116643,78.1899004267425,0.00520624166616478,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_04.vsi_zmax.tif","1229",0.528099173553719
"62","nv13_24",198,1,2476,2021,455,"07",21.6726524504302,121.81444070333,0.00462971031592888,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_07.vsi_zmax.tif","Ctrl",0.816235864297254
"63","nv13_25",293,1,1169,822,347,"13",19.2283849918434,96.4138118542686,0.00516453700944812,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_13.vsi_zmax.tif","1229",0.703165098374679
"64","nv13_26",129,1,1783,1191,592,"16",20.5855199222546,97.5160349854227,0.00507742331186424,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_16.vsi_zmax.tif","1229",0.667975322490185
"65","nv13_27",195,1,2765,2192,573,"08",22.1544511977118,127.381122631391,0.00452204572368126,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_08.vsi_zmax.tif","Ctrl",0.792766726943942
"66","nv13_28",110,1,1201,912,289,"08",21.1954079140205,103.75915974597,0.00527722486273723,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_08.vsi_zmax.tif","1229",0.759367194004996
"67","nv13_29",109,1,3044,2429,615,"01",22.7319520880544,121.103269666559,0.00446328400732894,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_01.vsi_zmax.tif","Ctrl",0.79796320630749
"68","nv13_3",294,3,1333,911,422,"15",19.6618876941458,100.179211469534,0.00501317581210803,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_15.vsi_zmax.tif","1229",0.683420855213803
"69","nv13_30",445,3,2126,1832,294,"03",21.8587786259542,132.080152671756,0.00458565123096497,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_03.vsi_zmax.tif","Ctrl",0.861712135465663
"70","nv13_31",145,3,1372,910,462,"18",19.1498166579361,92.5013095861708,0.00515623892263207,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_18.vsi_zmax.tif","1229",0.663265306122449
"71","nv13_4",107,1,1409,1006,403,"10",19.474317445627,94.2355391022675,0.00512657631981535,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_10.vsi_zmax.tif","1229",0.713981547196593
"72","nv13_5",6,3,1092,596,496,"02",18.4588403722262,79.1839656406586,0.00499260685669244,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_02.vsi_zmax.tif","1229",0.545787545787546
"73","nv13_6",218,2,952,646,306,"07",19.2038637519065,89.4245043213015,0.00542480686192743,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_07.vsi_zmax.tif","1229",0.678571428571429
"74","nv13_7",77,1,1434,1163,271,"14",21.4608450704225,120.050704225352,0.00447667675621167,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_14.vsi_zmax.tif","Ctrl",0.811018131101813
"75","nv13_8",23,1,2405,1787,618,"13",20.1749408983452,104.47951142632,0.00425754304372157,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_13.vsi_zmax.tif","Ctrl",0.743035343035343
"76","nv13_9",19,1,976,651,325,"01",20.3616071428571,94.1823979591837,0.00517490886320161,"n3","20250611_Nv13_Rhod2_PKMO_Sybr_DIV22_zstack_1229_01.vsi_zmax.tif","1229",0.667008196721312
