"","CellID","spikes","Day","Condition","VideoID","DishID","Differentiation","Drug","pLNA","Recording_s","Recording_min","Freq"
"146","m3.MC.pLNA-1229.CS2.5.Mean1",7,"Day37","pLNA-1229_MC","m3.MC.pLNA-1229.CS2.5","m3.MC.pLNA-1229.CS2","m3","MC","pLNA-1229",270,4.5,0.0259259259259259
"147","m3.MC.pLNA-1229.CS2.5.Mean2",8,"Day37","pLNA-1229_MC","m3.MC.pLNA-1229.CS2.5","m3.MC.pLNA-1229.CS2","m3","MC","pLNA-1229",270,4.5,0.0296296296296296
"148","m3.MC.pLNA-Ctrl.CS1.1.Mean1",16,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.1","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0592592592592593
"149","m3.MC.pLNA-Ctrl.CS1.1.Mean3",10,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.1","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.037037037037037
"150","m3.MC.pLNA-Ctrl.CS1.2.Mean1",3,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.2","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0111111111111111
"151","m3.MC.pLNA-Ctrl.CS1.4.Mean3",9,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.4","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0333333333333333
"152","m3.MC.pLNA-Ctrl.CS1.4.Mean4",12,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.4","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0444444444444444
"153","m3.MC.pLNA-Ctrl.CS1.5.Mean2",12,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.5","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0444444444444444
"154","m3.MC.pLNA-Ctrl.CS1.5.Mean3",12,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS1.5","m3.MC.pLNA-Ctrl.CS1","m3","MC","pLNA-Ctrl",270,4.5,0.0444444444444444
"155","m3.MC.pLNA-Ctrl.CS2.1.Mean1",10,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS2.1","m3.MC.pLNA-Ctrl.CS2","m3","MC","pLNA-Ctrl",270,4.5,0.037037037037037
"156","m3.MC.pLNA-Ctrl.CS2.1.Mean2",8,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS2.1","m3.MC.pLNA-Ctrl.CS2","m3","MC","pLNA-Ctrl",270,4.5,0.0296296296296296
"157","m3.MC.pLNA-Ctrl.CS2.4.Mean1",9,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS2.4","m3.MC.pLNA-Ctrl.CS2","m3","MC","pLNA-Ctrl",270,4.5,0.0333333333333333
"158","m3.MC.pLNA-Ctrl.CS2.5.Mean1",9,"Day37","pLNA-Ctrl_MC","m3.MC.pLNA-Ctrl.CS2.5","m3.MC.pLNA-Ctrl.CS2","m3","MC","pLNA-Ctrl",270,4.5,0.0333333333333333
