"","Day","Differentiation","Condition","Drug","pLNA","DishID","VideoID","CellID","log_amp_mean","amp_mean"
"137","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1.4.Mean3",-1.02333651744356,0.374139717800866
"138","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS1","m2.MC.pLNA-1229.CS1.4","m2.MC.pLNA-1229.CS1.4.Mean3",-0.829208380346461,0.437909913602825
"139","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.4","m1.MA.pLNA-Ctrl.CS1.4.Mean3",-2.46984862830775,0.0849596583231303
"140","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1.4.Mean3",-1.94655559346798,0.144710692924768
"141","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.4","m2.MC.pLNA-Ctrl.CS1.4.Mean3",-1.66450378777122,0.190424823635785
"142","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS1","m3.MC.pLNA-Ctrl.CS1.4","m3.MC.pLNA-Ctrl.CS1.4.Mean3",-2.35496032610502,0.0955556045377065
"143","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.5","m1.MC.pLNA-1229.CS1.5.Mean3",-0.984552639872458,0.378256855638378
"144","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS1","m2.MC.pLNA-1229.CS1.5","m2.MC.pLNA-1229.CS1.5.Mean3",-2.33012459548615,0.0972836252338037
"145","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.5","m3.MA.pLNA-Ctrl.CS1.5.Mean3",-2.32519757397436,0.10265444015444
"146","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS1","m3.MC.pLNA-Ctrl.CS1.5","m3.MC.pLNA-Ctrl.CS1.5.Mean3",-1.87842781517181,0.156475108854867
"147","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.5","m3.MA.pLNA-1229.CS2.5.Mean3",-1.67028653581899,0.189365786363952
"148","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.2","m3.MA.pLNA-Ctrl.CS1.2.Mean4",-1.70062055193461,0.19334298095553
"149","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.3","m2.MC.pLNA-1229.CS2.3.Mean4",-1.84208399583682,0.164600217980972
"150","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1.4.Mean4",-2.4441422695804,0.0875626304046187
"151","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1.4.Mean4",-1.71794933699319,0.188298830281268
"152","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS1","m3.MC.pLNA-Ctrl.CS1.4","m3.MC.pLNA-Ctrl.CS1.4.Mean4",-1.87390962392697,0.159225737030548
"153","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.5","m2.MC.pLNA-Ctrl.CS1.5.Mean4",-2.57732920789481,0.0759766511282538
"154","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1.2.Mean5",-2.21620642140933,0.112365095204409
"155","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.2","m2.MA.pLNA-1229.CS1.2.Mean5",-2.48170532827948,0.0837631666783101
"156","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1.3.Mean5",-2.26549917761634,0.106915354615051
"157","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1.4.Mean5",-1.67228145464956,0.193947260866686
"158","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1.2.Mean6",-2.50664867897415,0.0816767720291772
