"","Day","Differentiation","Condition","Drug","pLNA","DishID","VideoID","CellID","log_amp_mean","amp_mean"
"69","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.5","m3.MA.pLNA-Ctrl.CS2.5.Mean1",-1.72959712611072,0.185507710391046
"70","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS2","m2.MC.pLNA-Ctrl.CS2.5","m2.MC.pLNA-Ctrl.CS2.5.Mean1",-1.74248990344418,0.182853191293569
"71","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS2","m3.MC.pLNA-Ctrl.CS2.5","m3.MC.pLNA-Ctrl.CS2.5.Mean1",-1.44390118569198,0.249898345201113
"72","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.1","m1.MA.pLNA-1229.CS1.1.Mean2",-2.30175420064088,0.101063023618069
"73","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.1","m3.MA.pLNA-1229.CS1.1.Mean2",-1.48020396757462,0.233461558373363
"74","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.1","m2.MA.pLNA-Ctrl.CS1.1.Mean2",-2.20849675388943,0.113793730905887
"75","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.1","m1.MC.pLNA-Ctrl.CS1.1.Mean2",-0.582563736827364,0.565441841212021
"76","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.1","m2.MC.pLNA-Ctrl.CS1.1.Mean2",-2.0259782065071,0.136121780276782
"77","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.1","m3.MA.pLNA-1229.CS2.1.Mean2",-2.10370148073001,0.125253012656152
"78","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.1","m2.MC.pLNA-1229.CS2.1.Mean2",-1.90826442327803,0.148827608059496
"79","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.1","m2.MA.pLNA-Ctrl.CS2.1.Mean2",-1.75726034086606,0.175420630552717
"80","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.1","m3.MA.pLNA-Ctrl.CS2.1.Mean2",-2.19062417800138,0.114715212495227
"81","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS2","m3.MC.pLNA-Ctrl.CS2.1","m3.MC.pLNA-Ctrl.CS2.1.Mean2",-2.11347811780805,0.123105890231591
"82","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1.2.Mean2",-2.00511839921993,0.137995702570835
"83","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.2","m1.MC.pLNA-1229.CS1.2.Mean2",-1.18483116398874,0.313962171887499
"84","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.2","m1.MA.pLNA-Ctrl.CS1.2.Mean2",-1.03882340984293,0.360593608896008
"85","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.2","m2.MA.pLNA-Ctrl.CS1.2.Mean2",-1.69620819760523,0.186240308340223
"86","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.2","m3.MA.pLNA-Ctrl.CS1.2.Mean2",-2.10497588102305,0.12476802765931
"87","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.2","m1.MC.pLNA-Ctrl.CS1.2.Mean2",-0.808034678698893,0.4588058599885
"88","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.2","m2.MA.pLNA-1229.CS2.2.Mean2",-1.78677174619721,0.170270935573584
"89","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.2","m2.MC.pLNA-1229.CS2.2.Mean2",-1.29535151732303,0.279172464913324
"90","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS2","m3.MC.pLNA-1229.CS2.2","m3.MC.pLNA-1229.CS2.2.Mean2",-2.50669814074673,0.0816549179976265
"91","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.2","m2.MA.pLNA-Ctrl.CS2.2.Mean2",-2.19334690913673,0.112538996870912
"92","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.2","m3.MA.pLNA-Ctrl.CS2.2.Mean2",-2.49950630178555,0.0822768799967057
"93","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1.3.Mean2",-1.89970218455574,0.152491324514688
"94","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.3","m3.MA.pLNA-1229.CS1.3.Mean2",-2.20696735238801,0.113656543504978
"95","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.3","m1.MC.pLNA-1229.CS1.3.Mean2",-1.00775382986308,0.378420136906242
"96","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.3","m3.MC.pLNA-1229.CS1.3.Mean2",-0.456179558744417,0.638383064524843
"97","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.3","m1.MA.pLNA-Ctrl.CS1.3.Mean2",-0.583277305070751,0.564066642230136
"98","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.3","m2.MA.pLNA-Ctrl.CS1.3.Mean2",-2.13917660280957,0.120223090351536
"99","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.3","m3.MA.pLNA-Ctrl.CS1.3.Mean2",-1.44251507991323,0.242514415009673
"100","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.3","m3.MA.pLNA-1229.CS2.3.Mean2",-1.68194420981763,0.189001305203567
"101","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.3","m2.MA.pLNA-Ctrl.CS2.3.Mean2",-2.44000131254301,0.087890442737153
"102","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1.4.Mean2",-2.01088553939149,0.136155500637853
"103","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1.4.Mean2",-1.77927476630489,0.17000169618696
"104","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.4","m3.MC.pLNA-1229.CS1.4.Mean2",-0.96392462078749,0.39511455380453
"105","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.4","m2.MC.pLNA-Ctrl.CS1.4.Mean2",-1.89817652781651,0.153603130572617
"106","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.4","m2.MA.pLNA-1229.CS2.4.Mean2",-1.15241918782613,0.325125392691026
"107","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.4","m3.MA.pLNA-1229.CS2.4.Mean2",-1.40143501332176,0.259020776329528
"108","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS2","m3.MC.pLNA-1229.CS2.4","m3.MC.pLNA-1229.CS2.4.Mean2",-1.13976029350223,0.325819367866723
"109","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.4","m2.MA.pLNA-Ctrl.CS2.4.Mean2",-2.50904160717886,0.081575436120239
"110","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.4","m3.MA.pLNA-Ctrl.CS2.4.Mean2",-1.9821881684816,0.143225301006102
