miR-1229_Human PBS,miR-1229_Chimp PBS,miR-1229_Ctrl. PBS,Ctrl._Human PBS,Ctrl._Chimp PBS,Ctrl._Ctrl. PBS
0.022028429,0.122011242,0.128088816,0.144819768,0.141692449,0.145622156
0.019598142,0.184114258,0.184530329,0.18704726,0.181981557,0.188904694
0.025059752,0.216610039,0.227306984,0.223369662,0.201355627,0.210621762
